exercise_number,exercise_text,a,b,c,d,e,f,author,graphic
"3.152.*","Un conductor liniar mobil cu lungimea $l=1,2 \mathrm{~m}$ este legat prin două conductoare de o sursă cu tensiunea electromotoare $E=24 \mathrm{~V}$ şi rezistență internă $r=0,5 \Omega$. Conductorul mobil se deplasează cu viteza $v=12,5 \mathrm{~m} / \mathrm{s}$ într-un câmp magnetic de inducție $B=0,8 \mathrm{~T}$, orientat ca în Fig. 3.27. Rezistența exterioară a circuitului fiind $R=2,5 \Omega$, intensitatea curentului din circuit este:\\","$8 \mathrm{~A}$","$6 \mathrm{~A}$","$7 \mathrm{~A}$","$4 \mathrm{~A}$","$8,66 \mathrm{~A}$","$9 \mathrm{~A}$","Ion Belciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-177"
"3.153.*","O bară orizontală MN, perfect conductoare, de lungime $l=10 \mathrm{~cm}$ şi masă $m=100 \mathrm{~g}$ alunecă fară frecare de-a lungul a două bare perfect conductoare, plasate vertical și legate prin intermediul unui rezistor cu rezistența $R=0,1 \Omega$. Perpendicular pe planul barelor acționează un câmp magnetic omogen de inducție $B=1 \mathrm{~T}$. Lăsată să cadă sub efectul propriei greutăți de-a lungul celor două bare verticale ( $g=10 \mathrm{~m} / \mathrm{s}^{2}$ ), bara mobilă MN va atinge viteza limită:\\","$0,1 \mathrm{~ms}^{-1}$","$1 \mathrm{~ms}^{-1}$","$10 \mathrm{~ms}^{-1}$","$10^{-2} \mathrm{~ms}^{-1}$","$10^{-3} \mathrm{~ms}^{-1}$","$20 \mathrm{~ms}^{-1}$","Ilie Ivanov","N/A"
"3.154.*","Prin trei vârfuri ale unui pătrat cu latura $a=20 \mathrm{~cm}$ trec trei curenți perpendiculari pe planul pătratului având valorile: $I_{1}=100 \mathrm{~A}$ orientat în sens opus sensului celorlalți doi curenți alăturați, în dispunere consecutivă și cu valorile $I_{2}=2 I_{1}$ şi $I_{3}=I_{1}$. Inducția magnetică $\vec{B}$ produsă în vârful rămas liber va fi:\\","$2 \cdot 10^{-4} \mathrm{Wbm}^{-2}$","$2 \pi \cdot 10^{-4} \mathrm{Wbm}^{-2}$","$\frac{\pi}{2} \cdot 10^{-4} \mathrm{Wbm}^{-2}$","$4 \cdot 10^{-3} \mathrm{Wbm}^{-2}$","$2 \mathrm{Wbm}^{-2}$","$0,2 \mathrm{Wbm}^{-2}$","Ilie Ivanov","N/A"
"3.155.*","Un electron se mişcă pe o traiectorie circulară de rază $1,2 \mathrm{~cm}$, perpendiculară pe un câmp magnetic uniform. Viteza electronului este de $10^{6} \mathrm{~m} / \mathrm{s}$. Care este fluxul magnetic total care străbate orbita ?\\","$2,14 \cdot 10^{-4} \mathrm{~Wb}$","$2,14 \cdot 10^{-7} \mathrm{~Wb}$","$3,14 \cdot 10^{-7} \mathrm{Tm}^{2}$","$2,14 \cdot 10^{-7} \mathrm{mWb}$","$2,14 \cdot 10^{-7} \mathrm{mTm}^{2}$","$3,14 \cdot 10^{-7} \mathrm{Tcm}^{2}$","Mădălina Puică","N/A"
"3.156.*","Un fir rectiliniu lung este parcurs de un curent cu intensitatea de $1,5 \mathrm{~A}$. Un electron se deplasează cu o viteză de $5 \cdot 10^{6} \mathrm{~cm} / \mathrm{s}$ paralel cu firul, la $10 \mathrm{~cm}$ distantă, și în acelaşi sens cu curentul. Ce forță exercită câmpul magnetic al curentului asupra electronului în mişcare ?\\","$5 \mathrm{~mN}$","$10^{-4} \mathrm{~N}$","$2,4 \cdot 10^{-20} \mathrm{~N}$","$2,5 \mathrm{~N}$","$10^{-3} \mathrm{~N}$","$10^{-31} \mathrm{~N}$","Mădălina Puică","N/A"
"3.157.*","Un iluzionist amator vrea să arate familiei cum ""pluteşte în aer"" un fir de aluminiu, cu diametrul de $0,5 \mathrm{~mm}$ şi densitatea $\rho=2700 \mathrm{~kg} \cdot \mathrm{~m}^{-3}$, folosindu-se de un conductor liniar de cupru fixat de masă, paralel cu cel de aluminiu, prin care circulă un curent de $175 \mathrm{~A}$ . La ce distanță maximă deasupra mesei ar sta în echilibru conductorul de aluminiu, dacă prin el poate circula un curent maxim de $40 \mathrm{~u.S.I.}$, în sensul curentului din conductorul fix ?\\","$15 \mathrm{~mm}$ deasupra firului de cupru","$3,8 \mathrm{~mm}$ deasupra firului de cupru","demonstrația nu reuşeşte, firul de Al nu pluteşte","$3,8 \mathrm{~mm}$ lateral spre Nord","$15 \mathrm{~mm}$ lateral spre Vest","$7,5 \mathrm{~mm}$ deasupra","Radu Chişleag","N/A"
"3.158.*","Un conductor liniar, parcurs de un curent de $50 \mathrm{~A}$ , se află într-un câmp magnetic uniform exterior de inducție $B_{e}=1 \mathrm{mT}$, normal pe conductor. Care este locul geometric al punctelor în care câmpul magnetic local este nul ?\\","un plan care conține conductorul şi este paralel cu $\vec{B}_{e}$","un plan care conține conductorul și este perpendicular pe $\vec{B}_{e}$","un cilindru drept cu raza $r=10 \mathrm{~mm}$, centrat pe conductor","un trunchi de con cu vârful la mijlocul conductorului şi cu unghiul la vârf de $\pi / 2$","o dreaptă paralelă cu conductorul la distanța de $10 \mathrm{~mm}$ de acesta, aflată într-un plan perpendicular pe $\vec{B}_{e}$","un cerc aflat într-un plan perpendicular pe conductor, cu raza de $1 \mathrm{~cm}$","Radu Chişleag","N/A"
"3.159.*","Câmpului magnetic terestru $\vec{B}_{0}$ orientat spre Nord i se suprapune un câmp magnetic $\vec{B}$ uniform orientat spre Est, de intensitate $B=\sqrt{3} B_{0}$. Ce direcție va indica acul magnetic al unei busole plasate în planul vectorilor $\vec{B}$ şi $\vec{B}_{0}$ ?\\","Nord - Est, făcând un unghi de $30^{\circ} \mathrm{C}$ cu direcția Est","Nord - Est, fåcând un unghi de $30^{\circ}$ cu direcţia Nord","Nord - Est, făcând un unghi de $\pi / 3$ cu direcția Nord","Sud - Vest, făcând un unghi de $45^{\circ}$ cu direcția Sud","Sud - Vest, făcând un unghi de $30^{\circ}$ cu direcția Vest","Nord - (Nord - Est)","Radu Chişleag","N/A"
"3.160.*","Un solenoid având $8$ spire/$\mathrm{cm}$, foarte lung, este parcurs de un curent cu intensitatea de $16 \mathrm{~A}$ . Pe axul solenoidului este plasat un conductor având lungimea de $25 \mathrm{~cm}$ , prin care circulă acelaşi curent ca şi prin solenoid. Care este forța exercitată de solenoid asupra conductorului axial ?\\","$0,01 \mathrm{~N}$ în sensul curentului","$0,04 \mathrm{~N}$ în sensul curentului","$0,01 \mathrm{~N}$ în sensul opus curentului","$0,04 \mathrm{~N}$ în sensul opus curentului","0","Forța nu se poate determina cantitativ deoarece ångstromul nu este o unitate pentru intensitatea curentului electric","Radu Chişleag","N/A"
"3.161.*","Un solenoid cu lungimea $l$ și fără miez magnetic are inductanța $L_{0}=0,24 \mathrm{H}$. În solenoid se introduce un miez de lungimea solenoidului format din doi cilindri de materiale feromagnetice, unul de lungime $0,8 l$ şi permeabilitate relativă 750, iar celălalt pe restul lungimii, de permeabilitate relativă 250 . Care este inductanța noului solenoid ?\\","$84 \mathrm{~H}$","$0,65 \mathrm{H}$","$0,89 \mathrm{H}$","$240 \mathrm{~H}$","$156 \mathrm{~H}$","$1200 \mathrm{~mH}$","Radu Chişleag","N/A"
"3.162.*","Tensiunea la bornele unei surse de curent continuu $U_{B}$ este mai mare decât tensiunea ei electromotoare $E$ dacă sursa considerată este legată:\\","în serie cu un rezistor având rezistența infinită","în paralel cu o altă sursă având $E^{\prime}>E$","în serie cu o altă sursă având $E^{\prime}>E$","în opoziție cu o altă sursă având $E^{\prime}>E$","în serie cu o altă sursă având $E^{\prime}<E$","nu se poate obține o asmenea situație","Nicoleta Eşeanu","N/A"
"3.163.*","Alegeți varianta corectă pentru orientarea forței Lorentz (pentru cazurile A, C şi E sarcina electrică este pozitivă, iar pentru celelalte sarcina electrică este negativă; Fig. 3.28):\\","\includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-180(1)A}","\includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-180(1)B}","\includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-180(1)C}","\includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-180(1)D}","\includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-180(1)E}","\includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-180(1)F}","Nicoleta Eşeanu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-180(1)"
"3.164.*","Alegeți afirmația corectă referitoare la fenomenul de inducție electromagnetică:\\","tensiunea electromotoareindusă într-un circuit depinde numai de aria circuitului şi de inducția magnetică","tensiunea electromotoareindusă într-un circuit este egală cu fluxul magnetic prin suprafața acelui circuit luat cu semn schimbat","tensiunea electromotoareindusă într-o bobină cu $N$ spire este de $N$ ori mai mică decât cea indusă într-o spiră","tensiunea electromotoareindusă într-un circuit este egală cu viteza de variație a fluxului magnetic prin suprafața acelui circuit luată cu semn schimbat","sensul curentului indus este astfel încât fluxul său magnetic se opune fluxului magnetic inductor","nici o variantă din cele anterioare nu este corectă","Nicoleta Eşeanu","N/A"
"3.165.*","În montajul din Fig. 3.29 se cunosc: $R=2 \mathrm{k} \Omega, R_{b}=8 \mathrm{k} \Omega, L=12 \mathrm{mH}$ şi $U=200 \mathrm{~V}$. Fluxul magnetic în bobină este:\\","$6 \cdot 10^{-5} \mathrm{~Wb}$","$12 \mathrm{~mWb}$","$0,1 \mathrm{~Wb}$","$0,24 \mathrm{mWb}$","$0,84 \mathrm{~Wb}$","$0,2 \mathrm{mT}$","Nicoleta Eşeanu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-180"
"3.166.*","Prin vârfurile $\mathrm{A}, \mathrm{B}, \mathrm{C}$ şi $\mathrm{D}$ ale unui pătrat de latură $a$ trec patru conductoare paralele, infinit de lungi, perpendiculare pe planul pătratului, străbătute, în ordine, de următorii curenți: $I_{1}=2 I, I_{2}=I_{3}=I_{4}=I$. Curenții $I_{1}$ şi $I_{2}$ au sensul dinspre observator spre planul foii, iar ceilalți au sens invers față de primii doi. Forța pe unitatea de lungime care se exercită asupra conductorului $I_{3}$ este:\\","$\frac{\mu I^{2}(2+\sqrt{2})}{2 \pi a}$","$\frac{\mu I^{2}(2-\sqrt{2})}{2 \pi a}$","$\frac{2 \mu I^{2}}{\pi a}$","$\frac{\mu I^{2}}{\pi a}$","$\frac{2 \mu I^{2}(1+\sqrt{2})}{\pi a}$","nici o variantǎ nu este corectă","Nicoleta Eşeanu","N/A"
"3.167.*","O particulă având sarcina $q=3,2 \cdot 10^{-19} \mathrm{C}$ şi masa $m=1,7 \cdot 10^{-27}$ kg descrie un cerc de rază $r=2 \mathrm{~cm}$ într-un câmp magnetic uniform de inducție $B=27 \mathrm{mT}$. Viteza particulei este:\\","$101 \mathrm{~km} / \mathrm{s}$","$7,8 \cdot 10^{-3} \mathrm{~m} / \mathrm{s}$","$1,25 \cdot 10^{7} \mathrm{~m} / \mathrm{s}$","$640 \mathrm{~m} / \mathrm{s}$","$160 \mathrm{~m} / \mathrm{s}$","$228 \mathrm{~m} / \mathrm{s}$","Nicoleta Eşeanu","N/A"
"3.168.*","O bobină cu $n=10$ spire $/ \mathrm{cm}$ are volumul interior $V=10 \pi \mathrm{~cm}^{3}$ ocupat de un miez magnetic având permeabilitatea relativă $\mu_{r}=380$. Cunoaştem $\mu_{0}=4 \pi \cdot 10^{-7} \mathrm{~N} / \mathrm{A}^{2}$ şi $\pi^{2} \approx 10$. Inductanţa bobinei este:\\","$7,8 \mathrm{mH}$","$0,03 \mathrm{H}$","$3,8 \mathrm{mH}$","$15,2 \mathrm{mH}$","$4 \pi^{2} \cdot 10^{-3} \mathrm{H}$","$4 \pi \cdot 10^{-3} \mathrm{H}$","Nicoleta Eşeanu","N/A"
"3.169.*","Un solenoid cu lungimea $\ell=0,5 \mathrm{~m}$ şi cu $n=200$ spire $/ \mathrm{m}$ este parcurs de un curent de intensitate $I=1 \mathrm{~A}$. Firul conductor (subțire) este înfăşurat pe un miez având aria secțiunii transversale $S=20 \mathrm{~cm}^{2}$ şi permeabilitatea relativă $\mu_{r}=400$. Intrerupem curentul într-un interval de timp $\Delta t=0,02 \mathrm{~s}$. Diferența de potențial apărută la bornele solenoidului este:\\","$(6,4 \pi) \mathrm{mV}$","$5,4 \mathrm{mV}$","$(0,32 \pi) \mathrm{V}$","$(8 \pi) \mathrm{V}$","$(0,4 \pi) \mathrm{mV}$","nici o variantă nu este corectă","Nicoleta Eşeanu","N/A"
"3.170.*","Un contur metalic pătrat, de latură $a=10 \mathrm{~cm}$ şi rezistență $R=2 \Omega$, este aşezat pe un plan orizontal într-un loc unde componenta verticală a câmpului magnetic terestru este $B_{v}=50 \mu \mathrm{~T}$. Răsturnăm conturul cu $180^{\circ}$ într-un interval de timp de $3 \mathrm{~s}$. Sarcina electrică ce trece prin cadru este:\\","$0,15 \mathrm{mC}$","$250 \mathrm{~nC}$","$13,33 \mu \mathrm{C}$","$0,5 \mu \mathrm{C}$","$0,85 \mathrm{mC}$","$0,35 \mathrm{mC}$","Nicoleta Eşeanu","N/A"
"3.171.*","Un electron şi o particulă $\alpha$ se mişcă într-un câmp magnetic pe traiectorii circulare cu aceeaşi viteză. Raportul dintre numărul de rotații pe secundă pe care le efectuează electronul şi respectiv particula $\alpha$ este egal cu (se dau: $m_{e}=9,1 \cdot 10^{-31} \mathrm{~kg}, m_{\alpha}=6,68 \cdot 10^{-27} \mathrm{~kg}$ şi sarcina particulei $q_{\alpha}=2 e$, unde $e$ este sarcina electronului):\\","367","4000","36,7","3670,3","6703","1813","Răzvan Mitroi","N/A"
"3.172.*","Un solenoid cu lungimea de $30 \mathrm{~cm}$ este bobinat cu două straturi de sârmă. Stratul interior conține 300 spire, iar cel exterior 250 spire. Curentul care trece prin solenoid are intensitatea de $3 \mathrm{~A}$ şi circulă în acelaşi sens în ambele straturi. Inducția magnetică într-un punct din apropierea axei solenoidului are valoarea:\\","$10^{-3} \mathrm{~T}$","$6,9 \cdot 10^{-3} \mathrm{~A}$","$690 \mathrm{~T}$","$9 \cdot 10^{-3} \mathrm{~T}$","$\left.6,9 \cdot 10^{-3} \mathrm{~T}$","$0,9 \mathrm{~T}$","Răzvan Mitroi","N/A"
"3.173.*","Într-un câmp magnetic de inducție $B=0,4 \mathrm{~T}$ este plasată o bobină cu $N=300$ spire, având rezistența spirelor $R=40 \Omega$ şi aria secțiunii transversale $S=16 \mathrm{~cm}^{2}$. Bobina este astfel plasată încât axa sa face un unghi $\alpha=60^{\circ}$ cu direcția câmpului magnetic. Sarcina electrică ce trece prin bobină dacă câmpul magnetic se întrerupe brusc este egală cu:\\","$2,4 \cdot 10^{-3} \mathrm{~A}$","$4 \cdot 10^{-3} \mathrm{C}$","$7,4 \cdot 10^{-3} \mathrm{C}$","$2,4 \cdot 10^{-3} \mathrm{C}$","$24 \cdot 10^{-3} \mathrm{C}$","$2 \cdot 10^{-3} \mathrm{~A}$","Răzvan Mitroi","N/A"
"3.174.*","O spiră aflată în scurtcircuit, având rezistența $R=0,1 \Omega$ este parcursă de un flux magnetic $\Phi$ produs de un electromagnet. Sarcina electrică totală care parcurge spira dacă se întrerupe alimentarea electromagnetului are valoarea de $10^{-3} \mathrm{C}$. Fluxul magnetic produs de electromagnet este egal cu:\\","$5 \cdot 10^{-2} \mathrm{~Wb}$","$2 \cdot 10^{-3} \mathrm{~Wb}$","$5 \cdot 10^{-4} \mathrm{~Wb}$","$10^{-4} \mathrm{~Wb}$","$10^{-5} \mathrm{~Wb}$","$10^{-3} \mathrm{~Wb}$","Ileana Creangă","N/A"
"3.175.*","În interiorul unui solenoid cu lungimea $l=0,25 \mathrm{~m}$ și numărul de spire $N=300$, aflat în aer, se găseşte un inel metalic de arie $S=5 \cdot 10^{-4} \mathrm{~m}^{2}$ şi rezistență $R=0,02 \Omega$. Suprafața inelului este perpendiculară pe axa solenoidului. Curentul în solenoid variază după legea $I=k t$, unde $k=1 \mathrm{~A} / \mathrm{s}$. Forța pe unitatea de lungime care acționează asupra inelului după $5 \mathrm{~s}$ de la închiderea circuitului este:\\","$7,1 \mathrm{~N} / \mathrm{m}$","$28,4 \cdot 10^{-8} \mathrm{~N} / \mathrm{m}$","$7,1 \cdot 10^{-5} \mathrm{~N} / \mathrm{m}$","$10^{-8} \mathrm{~N}$","$51000 \mathrm{~N} / \mathrm{m}$","$10^{-6} \mathrm{~N} / \mathrm{m}$","Ileana Creangă","N/A"
"3.176.*","O tijă metalică (Fig. 3.30) de masă $m=0,1 \mathrm{~kg}$ şi lungimea $25 \mathrm{~cm}$ cade de-a lungul unor şine verticale considerate fără rezistență electrică. În regiunea şinelor acționează un câmp magnetic omogen cu inducția $2 \mathrm{~T}$ , normal pe planul şinelor. Şinele verticale sunt legate între ele cu un rezistor de $1 \Omega$. Se neglijează frecările. Se dă $g=10 \mathrm{~m} / \mathrm{s}^{2}$. Viteza limită de cădere a tijei este:\\","$1 \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~m} / \mathrm{s}$","$4 \mathrm{~m} / \mathrm{s}$","$50 \mathrm{~m} / \mathrm{s}$","$0,1 \mathrm{~m} / \mathrm{s}$","$8 \mathrm{~m} / \mathrm{s}$","Niculae Puşcaş","images/2025_07_01_5b3ff9fa0d508c8e9f17g-183"
"3.177.*","O bară metalică de lungime $1 \mathrm{~m}$ şi masă $2 \mathrm{~kg}$ se mişcă fără frecare pe o masă orizontală. De mijlocul barei este legat un fir fără greutate care este trecut apoi peste un scripete ideal, fixat la marginea mesei, la celălalt capăt al firului fiind suspendat un corp de $1 \mathrm{~kg}$. Mişcarea barei are loc într-un câmp magnetic cu inducția $2 \cdot 10^{-4} \mathrm{~T}$. Diferența de potențial de la capetele barei după $3 \mathrm{~s}$ de la începutul mişcării sale este ( $g=10 \mathrm{~m} / \mathrm{s}^{2}$ ):\\","$1 \mathrm{~V}$","$0,2 \mathrm{~V}$","$10 \mathrm{~V}$","$0,01 \mathrm{~V}$","$2 \cdot 10^{-3} \mathrm{~V}$","$8 \mathrm{~mV}$","Niculae Puşcaş","N/A"
"3.178.*","Între două conductoare verticale, paralele, fixe, presupuse infinit de lungi, parcurse de curenți cu intensitatea de $1 \mathrm{~A}$, respectiv $2 \mathrm{~A}$, în acelaşi sens, se suspendă un al treilea conductor, paralel cu primele, la distanţa de $0,05 \mathrm{~m}$ faţă de primul conductor. Distanța dintre primele două conductoare astfel încât al treilea conductor, care se poate deplasa lateral în planul celorlalte două, să fie în echilibru, este:\\","$1 \mathrm{~m}$","$0,5 \mathrm{~m}$","$0,15 \mathrm{~m}$","$0,01 \mathrm{~m}$","$10^{-3} \mathrm{~m}$","$0,75 \mathrm{~m}$","Niculae Puşcaş","N/A"
"3.179.*","Din două conductoare identice de lungime $L$ se formează o spiră circulară şi una sub formă de triunghi echilateral. Aceste spire sunt traversate perpendicular de liniile unui câmp magnetic variabil $B=B(t)$. Raportul între curentul indus în spira circulară şi cel indus în spira triunghiulară este:\\","$\frac{3 \sqrt{3}}{\pi}$","$\frac{\pi \sqrt{3}}{2}$","$\frac{3 \sqrt{2}}{\pi}$","$\frac{2 \sqrt{3}}{\pi}$","$\frac{2 \pi}{\sqrt{3}}$","$\frac{3 \pi}{\sqrt{2}}$","Mihai Cristea","N/A"
"3.180.*","Un electron (de sarcină $e=1,6 \cdot 10^{-19} \mathrm{C}$ ) este accelerat într-o tensiune $U=20 \mathrm{~V}$ și intră apoi perpendicular pe inducția unui câmp magnetic omogen. Dacă electronul descrie în jurul inducției un cerc de rază $r=0,5 \mathrm{~cm}$, forța Lorentz ce acționează asupra electronului este egală cu:\\","$3,2 \cdot 10^{-19} \mathrm{~N}$","$1,28 \cdot 10^{-15} \mathrm{~N}$","$4,18 \cdot 10^{-16} \mathrm{~N}$","$8 \cdot 10^{-19} \mathrm{~N}$","$5,4 \cdot 10^{-18} \mathrm{~N}$","$2,8 \cdot 10^{-17} \mathrm{~N}$","Mircea Stan","N/A"
"3.181.*","Inducția magnetică în centrul unei bobine cu 50 spire, lungime $5 \mathrm{~cm}$ , parcurse de un curent electric cu intensitatea de $1,5 \mathrm{~A}$, dacă bobina are un miez de fier cu $\mu_{r}=200\left(\mu_{0}=4 \pi \cdot 10^{-7} \mathrm{~N} / \mathrm{A}^{2}\right)$ are valoarea:\\","$25 \cdot 10^{-7} \mathrm{~T}$","$0,12 \pi \mathrm{~T}$","$20 \pi \cdot 10^{-5} \mathrm{~T}$","$30 \pi \mathrm{~T}$","$2,4 \pi \mathrm{~T}$","$50 \cdot 10^{-3} \mathrm{~T}$","Gabriela Tiriba","N/A"
"3.182.*","Două conductoare foarte lungi, paralele, aflate la distanța $d=12 \mathrm{~cm}$ unul de celălalt sunt parcurse de curenți de acelaşi sens având intensitățile $I_{1}=2 \mathrm{~A}$ şi $I_{2}=5 \mathrm{~A}$. Inducția magnetică a câmpului rezultant la jumătatea distanței dintre cele două conductoare $\left(\mu_{0}=4 \pi \cdot 10^{-7} \mathrm{~N} / \mathrm{A}^{2}\right)$ are valoarea:\\","$10^{-5} \mathrm{~T}$","$2 \cdot 10^{-7} \mathrm{~T}$","$3 \cdot 10^{-5} \mathrm{~T}$","$7 \cdot 10^{-7} \mathrm{~T}$","$12 \pi \cdot 10^{-7} \mathrm{~T}$","$1,5 \cdot 10^{-3} \mathrm{~T}$","Gabriela Tiriba","N/A"
"3.183.*","Un conductor rectiliniu, de lungime $l$, parcurs de un curent constant $I$, este plasat într-un câmp magnetic uniform, de inducție $\vec{B}$. Asupra acestuia va acționa forța electromagnetică $\vec{F}$. Care dintre afirmaţiile următoare este falsă?\\","forța $\vec{F}$ este perpendiculară pe inducția magnetică $\vec{B}$","valoarea forței $F$ este maximă când conductorul este perpendicular pe liniile de câmp magnetic","forța $\vec{F}$ este perpendiculară pe viteza de transport a electronilor prin conductor","valoarea forței $F$ este maximă când conductorul este paralel cu liniile de câmp magnetic","valoarea forței $F$ este proporțională cu numărul de electroni care străbat conductorul în unitatea de timp","toate afirmațiile anterioare sunt false","Eugen Scarlat","N/A"
"3.184.*","Ţinând cont de relația cu care se calculează mărimea forței electromagnetice ce acționează asupra unui conductor rectiliniu, $F=B I l \sin \alpha$, una dintre afirmațiile următoare este falsă:\\","$I$ este intensitatea curentului care trece prin conductor","$B$ este inducția magnetică a câmpului produs de curentul $I$","$\alpha$ este unghiul format de vectorul $\vec{B}$ cu directia conductorului","$l$ este lungimea porțiunii de conductor care se află în câmpul magnetic","forţa $\vec{F}$ este perpendiculară pe planul determinat de vectorul inducție magnetică şi de conductor","toate afirmațiile anterioare sunt false","Eugen Scarlat","N/A"
"3.185.*","Care dintre următoarele afirmații referitoare la forța Lorentz este falsă:\\","sensul forței Lorentz depinde de semnul sarcinii electrice asupra căreia acționează","valoarea forței Lorentz depinde de viteza sarcinii electrice","forța Lorentz modifică energia cinetică a particulei","forța Lorentz nu acționează asupra particulelor fară sarcină electrică","forța Lorentz modifică vectorul viteză a particulei","toate afirmațiile anterioare sunt false","Eugen Scarlat","N/A"
"3.186.*","O spiră conductoare plană este plasată într-un câmp magnetic crescător în timp. Care dintre afirmațiile următoare nu este adevărată?\\","fenomenul de inducție electromagnetică nu se poate pune în evidență în lipsa spirei conductoare","sensul câmpului magnetic indus este opus celui al câmpului magnetic inductor","valoarea tensiunii electromotoareinduse în spiră este proporțională cu suprafața spirei","valoarea tensiunii electromotoare induse în spiră este mai mare dacă intervalul de timp în care fluxul câmpului inductor are o variație dată este mai scurt","tensiunea electromotoare indusă în spiră este nulă dacă planul spirei este paralel cu liniile de câmp magnetic","toate afirmațiile anterioare sunt false","Eugen Scarlat","N/A"
"3.187.*","În relația care defineşte modulul forței Lorentz $f$ ce acționează asupra unei particule cu sarcina electrică $q$ si se mişcă cu viteza $v, f=q v B \sin \alpha$, una dintre afirmațiile următoare este falsă:\\","forța Lorentz $\vec{f}$ este perpendiculară pe vectorul inducție magnetică $\vec{B}$","forța Lorentz $\vec{f}$ este perpendiculară pe vectorul viteză $\vec{v}$ a particulei","unghiul $\alpha$ este unghiul dintre vectorul inducție magnetică $\vec{B}$ şi vectorul viteză a particulei $\vec{v}$","forța Lorentz modifică valoarea vitezei particulei","forța Lorentz este nulă dacă particula se mişcă în lungul liniilor de câmp magnetic","toate afirmațiile anterioare sunt false","Eugen Scarlat","N/A"
"3.188.*","Doi solenoizi identici $L_{A}$ şi $L_{B}$ sunt conectați în serie într-un circuit de curent continuu, prima dată ca în Fig. 3.31a, iar a doua oară ca în Fig. 3.31b, astfel ca sensurile de bobinaj ale celor doi solenoizi să fie contrare în cazul b). Inducția magnetică din centrul solenoidului $L_{\mathrm{A}}$ :\\","rămâne neschimbată","creşte de două ori","creşte de patru ori","scade de două ori","scade de patru ori","devine zero","Eugen Scarlat","images/2025_07_01_5b3ff9fa0d508c8e9f17g-187"
"3.189.*","Doi solenoizi identici $L_{\mathrm{A}}$ şi $L_{\mathrm{B}}$ sunt conectați în serie într-un circuit de curent continuu, prima dată ca în Fig. 3.32a, iar a doua oară ca în Fig. 3.32b, astfel că sensurile de bobinaj ale celor doi solenoizi să fie aceleaşi în cazul b. Ce puteți spune despre inducția magnetică din centrul solenoidului $L_{\mathrm{A}}$?\\","rămâne neschimbată","creşte de două ori","creşte de patru ori","scade de două ori","scade de patru ori","devine zero","Eugen Scarlat","images/2025_07_01_5b3ff9fa0d508c8e9f17g-187(1)"
"3.190.*","Care dintre afirmațiile următoare referitoare la fenomenul de inducție electromagnetică este falsă?\\","dacă o spiră conductoare închisă este rotită în jurul unuia din diametrele sale care este perpendicular pe liniile unui câmp magnetic uniform, constant în timp, în spiră se induce curent electric","dacă o spiră de sârmă, închisă, este rotită astfel încât normala la suprafața ei rămâne permanent paralelă cu liniile unui câmp magnetic uniform, constant în timp, în spiră nu apare curent electric indus","dacă o spiră de sârmă, închisă, este rotită în jurul unui diametru al ei care este paralel cu liniile unui câmp magnetic uniform, constant în timp, în spiră nu apare curent electric indus","dacă o spiră de sârmă, închisă, este translatată într-un câmp magnetic uniform, constant în timp, în spiră apare curent electric indus","dacă o spiră de sârmă, închisă, este scoasă dintr-un câmp magnetic uniform, constant în timp, în spiră apare curent electric indus","N/A","Eugen Scarlat","N/A"
"3.191.*","O spiră conductoare de rază $R$ este întreruptă printr-un condensator C (Fig. 3.33). Spira este plasată într-un câmp magnetic variabil. Cunoscând viteza de variatie a inductiei magnetice $\frac{\Delta B}{\Delta t}$, sarcina condensatorului este:\\","$q=R^{2} C \frac{\Delta B}{\Delta t}$","$q=\pi \frac{\Delta B}{\Delta t} C$","$q=\pi R^{2} C \frac{\Delta B}{\Delta t}$","$q=\pi R^{2} \frac{\Delta B}{\Delta t}$","$q=\frac{C}{\pi R^{2}} \frac{\Delta B}{\Delta t}$","$q=\frac{C}{\pi R^{2}} \frac{\Delta B}{\Delta t}$","Gherghe Stanciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-188"
"3.192.*","O bobină cu 1000 spire cu aria de $20 \mathrm{~cm}^{2}$ este rotită, dintr-o poziție în care planul spirelor sale este perpendicular pe câmpul magnetic al Pământului, în poziția în care planul este paralel cu câmpul, în $0,02 \mathrm{~s}$. Tensiunea electromotoare medie indusă, dacă inducția câmpului magnetic al Pământului este de $6 \cdot 10^{-5} \mathrm{~T}$ este egală cu:\\","$5 \cdot 10^{-3} \mathrm{~V}$","$0,15 \mathrm{~V}$","$1 \mathrm{~V}$","$3 \mathrm{~mV}$","$6 \mathrm{~mV}$","$0,03 \mathrm{~V}$","Ionuț Puică","N/A"
