exercise_number,solution
"1.155","Scriem conservarea impulsului pentru cea de-a doua barcă, la care se adaugă masa $m$:\\ $m_{2} v-m v=\left(m_{2}+m\right) v_{2} \Rightarrow m_{2}=m \frac{v+v_{2}}{v-v_{2}}=100 \mathrm{~kg}$.\\"
"1.156","Descompunând mişcarea după direcţia verticală şi orizontală, se obține:\\ $h=\frac{g t_{\mathrm{c}}^{2}}{2} \text { şi } k h=v \cdot t_{\mathrm{c}} \Rightarrow v=k \sqrt{\frac{g h}{2}}$.\\"
"1.157","Ţinând cont de faptul că la baza planului înclinat corpul suferă o ciocnire perfect elastică și că forța de frecare conduce la disiparea energiei mecanice, scriem că variația energiei mecanice este egală cu lucrul mecanic al forței de frecare:\\ $m g h_{1}-m g h=-\mu m g \cos \alpha\left(l_{1}+l_{2}\right)$.\\ Dar $l_{1}=\frac{h}{\sin \alpha}$ şi $l_{2}=\frac{h_{1}}{\sin \alpha}$, de unde, înlocuind în ecuația de mai sus, se obține:\\ $h_{1}=h \frac{1-\mu \operatorname{ctg} \alpha}{1+\mu \operatorname{ctg} \alpha}=8 \mathrm{~m}$.\\"
"1.158","Variația impulsului mingii este egală cu impulsul forței de impact, deci: $2 m v \cos \alpha=F \cdot \Delta t$, de unde $F=\frac{2 m v \cos \alpha}{\Delta t}=2500 \mathrm{~N}$.\\"
"1.159","Scriind condiția de stabilitate a Pământului pe traiectoria sa presupusă circulară, adică forța de atracție gravitațională este egală cu forța centrifugă, $k \frac{m M}{R^{2}}=\frac{m v^{2}}{R}$, se obţine $M=\frac{v^{2} R}{k} \cong 2 \cdot 10^{32} \mathrm{~kg}$.\\"
"1.160","Răspuns corect: C).\\"
"1.161","Răspuns corect: C).\\"
"1.162","Viteza pe care o are primul corp, cel care cade liber, înaintea procesului de ciocnire este $v_{1}=g t_{1}=40 \mathrm{~m} / \mathrm{s}$, iar înălțimea la care se petrece această ciocnire este $h_{1}=\frac{g}{2} t_{1}^{2}=80 \mathrm{~m}$.\\ După ciocnire, corpul nou format va avea o viteză orizontală şi una verticală, obținute din conservarea impulsului:\\ $m_{1} v_{1}=\left(m_{1}+m_{2}\right) v_{\text {vert }}$;\\ $m_{2} v_{2}=\left(m_{1}+m_{2}\right) v_{\text {oriz }}.$\\ Dar $m_{1}=m_{2}$, de unde $v_{\text {vert. }}=20 \mathrm{~m} / \mathrm{s}$ şi $v_{\text {oriz. }}=10 \mathrm{~m} / \mathrm{s}$.\\ Timpul în care corpul ajunge pe pământ este obținut din ecuația:\\ $h-h_{1}=v_{\text {vert }} t+\frac{g}{2} t^{2}$, care are soluția $t=2(\sqrt{2}-1)$.\\ Deci spațiul parcurs pe orizontală este:\\ $d=v_{\text {oriz. }} t=8,2 \mathrm{~m}$.\\"
"1.163","Dacă notăm cu $r$ raza cercului pe care se mişcă motocicliştii, cu $\omega_{1}$ şi $\omega_{2}$ vitezele lor unghiulare, spațiile $s_{1}$ şi $s_{2}$ parcurse in timpul $T$ sunt date de relațiile:\\ $s_{1}=r \omega_{1} T; \quad s_{2}=r \omega_{2} T$.\\ Pentru ca primul motociclist să-l prindă pe al doilea din urmă, trebuie ca $s_{1}=s_{2}+2 \pi r$.\\ Se obține imediat că $T=\frac{2 \pi}{\omega_{1}-\omega_{2}}$, numărul de rotații efectuat de primul motociclist şi de cel de-al doilea fiind:\\ $n_{1}=\frac{r \omega_{1} T}{2 \pi r}=\frac{\omega_{1}}{\omega_{1}-\omega_{2}}=\frac{v_{1}}{v_{1}-v_{2}}=5$;\\ $n_{2}=\frac{r \omega_{2} T}{2 \pi r}=\frac{\omega_{2}}{\omega_{1}-\omega_{2}}=\frac{v_{2}}{v_{1}-v_{2}}=4$.\\"
"1.164","Ciocnirea bilei cu planul este însoțită de o disipare a energiei sale cinetice:\\ $\frac{m v_{1}^{2}}{2}<\frac{m v_{0}^{2}}{2} \Rightarrow e<1$.\\ Fie $v_{n-1}$ şi $v_{n}$ vitezele bilei înainte şi imediat după cea de-a $n$-a ciocnire. Ele sunt legate prin relația din enunțul problemei $v_{n}=e v_{n-1}$, unde $e$ se numeşte coeficient de restituire. Energia cinetică $\frac{m v_{n}^{2}}{2}$ produce ridicarea bilei până la o înălțime $h_{n}$, astfel încât $m g h_{n}=\frac{m v_{n}^{2}}{2}$, de unde rezultă:\\ $\frac{h_{n}}{h_{n-1}}=\frac{v_{n}^{2}}{v_{n-1}^{2}}=e^{2}, \Rightarrow h_{n}=h_{n-1} e^{2}$.\\ Deci înălțimile maxime succesive atinse de bilă sunt:\\ $h_{0},\ h_{1}=h_{0} e^{2},\ h_{2}=h_{0} e^{4},\ \ldots,\ h_{n}=h_{0} e^{2 n},\ \ldots$.\\ Atunci când bila se întoarce în sus cu viteza $v_{n}$, viteza ei scade după legea $v=v_{n}-g t$ şi se anulează pentru $t=\frac{v_{n}}{g}$. Deci durata celei de-a $n$-a ridicări şi coborâri este $\theta_{n}=2 \frac{v_{n}}{g}$.\\ Deoarece $v_{n}=\sqrt{2 g h_{n}}=\sqrt{2 g h_{0}} e^{n},\ \theta_{n}=2 \sqrt{\frac{2 h_{0}}{g}} e^{n}$, durata totală a mişcării bilei este:\\ $\tau=\tau_{0}+2 \sqrt{\frac{2 h_{0}}{g}} \sum_{n=1}^{\infty} e^{n}=\sqrt{\frac{2 h_{0}}{g}}\left[2 e\left(1+e+e^{2}+\ldots+e^{n}+\ldots\right)+1\right]=\\ =\sqrt{\frac{2 h_{0}}{g}\left(\frac{2 e}{1-e}+1\right)}=\sqrt{\frac{2 h_{0}}{g}} \cdot \frac{1+e}{1-e}$, unde $\tau_{0}=\sqrt{\frac{2 h_{0}}{g}}$ este durata primei căderi.\\ Pe măsură ce $n$ creşte, $\theta_{n}$ scade, înălțimile la care urcă bila devin din ce în ce mai mici şi durata totală a mişcării este finită.\\"
"1.165","Forța totală de frânare $F_{t}$ este determinată de produsul dintre masa şi accelerația de frânare (decelerația), deci:\\ $F_{t}=m v / t=1,2 \cdot 10^{6} \mathrm{~N}$, cu $v$ fiind egală cu $72 \mathrm{~km} / \mathrm{h}$, ceea ce în SI corespunde la $20 \mathrm{~m} / \mathrm{s}$, iar timpul de frânare $t=20 \mathrm{~s}$.\\ Forța de frecare $F_{f}=\mu m g=0,6 \cdot 10^{6} \mathrm{~N}$, rezultând forța suplimentară de frânare $F_{f r}$ ce trebuie aplicată ca fiind egală cu $F_{t}-F_{f}=0,6 \cdot 10^{6} \mathrm{~N}$.\\"
"1.166","Conform legii conservării impulsului:\\ $m v=\left(m+m^{\prime}\right) v^{\prime}$, de unde $m+m^{\prime}=3 m$, astfel că $m^{\prime}=2 m=60 \mathrm{~kg}$.\\"
"1.167","Este necesar ca cele două viteze să fie egale în modul şi de semn contrar, astfel încât tractorul să se afle numai în mişcare de rotație, iar centrul tractorului să rămână pe loc.\\"
"1.168","$P=F_{f} v=\mu m g v$, unde $F_{f}$ reprezintă forţa de frecare dintre automobil şi sol, determinată de produsul dintre $G=m g$ şi $\mu$. Viteza $v$ de 108 $\mathrm{km} / \mathrm{h}$ corespunde unei viteze de $30 \mathrm{~m} / \mathrm{s}$, rezultând $\mu=P / m g v=0,2$.\\"
"1.169","Din compunerea forțelor rezultă ca suma vectorială a forței centrifuge și a greutății trebuie să fie orientată perpendicular pe suprafața drumului, şi astfel trebuie să fie îndeplinită condiția $\operatorname{tg} \alpha=v^{2} / g R$.\\ Deoarece $\operatorname{tg} \alpha=0,1, g=10 \mathrm{~m} / \mathrm{s}^{2}$ şi $R=49 \mathrm{~m}$, rezultă $v^{2}=g R \operatorname{tg} \alpha=49 \mathrm{~m}^{2} / \mathrm{s}^{2}$, deci $v=7 \mathrm{~m} / \mathrm{s}$.\\"
"1.170","Viteza unghiulară a secundarului este $\omega_{s}=2 \pi / 60 \mathrm{~rad} / \mathrm{s}$, iar viteza unghiulară a minutarului este $\omega_{m}=2 \pi / 3600 \mathrm{~rad} / \mathrm{s}$ (fiind 3600 secunde într-o oră, timpul în care minutarul face o rotație completă). Cele două indicatoare se suprapun din nou, pentru prima oară, când diferența dintre unghiurile parcurse este $2 \pi$, deci când $\omega_{s} t=\omega_{m} t+2 \pi$. De aici rezultă intervalul $t=2 \pi /\left(\omega_{s}-\omega_{m}\right)$, iar unghiul $\alpha$ la care se suprapun cele două indicatoare din nou va fi egal cu: $\omega_{m} t=\omega_{m}\left[2 \pi /\left(\omega_{s}-\omega_{m}\right)\right]=2 \pi / 59 \mathrm{rad}$.\\"
"1.171","Timpul în care corpul se află în deplasare este egal cu dublul timpului de urcare, fiind deci egal cu $2 v \sin \alpha / g$. Astfel distanţa parcursă pe orizontală va fì egală cu $2 v^{2} \sin \alpha \cos \alpha / g=\left(v^{2} / g\right) \sin 2 \alpha=5 \sqrt{3} \mathrm{~m}$. Întrucât $v=10 \mathrm{~m} / \mathrm{s}$, $g=10 \mathrm{~m} / \mathrm{s}^{2}$, rezultă $\sin 2 \alpha=\sqrt{3} / 2$, deci $\alpha=\pi / 6$.\\"
"1.172","Timpul în care corpul revine pe sol este egal cu dublul timpului în care respectivul corp se află în urcare, fiind astfel egal cu $2 v \sin \alpha / g$. Rezultă că distanța parcursă în acest timp va fỉ egală cu produsul dintre proiecția pe axa $\mathrm{O} x$ a vitezei şi acest interval de timp, respectiv $d=2 v^{2} \sin \alpha \cos \alpha / g=v^{2} \sin 2 \alpha / g$. Mărimile $\nu$ şi $g$ fiind constante, rezultă că distanţa $d$ (în modul) este maximă atunci când $\sin (2 \alpha)$ este maxim; rezultă $2 \alpha=\pi / 2$ sau $3 \pi / 2$, rezultă $\alpha=\pi / 4$ sau $3 \pi / 4$.\\"
"1.173","Deplasarea metroului între cele două staţii poate fi descompusă într-o mişcare cu viteză uniform accelerată, $a=1 \mathrm{~m} / \mathrm{s}^{2}$, urmată de o mişcare cu viteză constantă $v_{m}$ şi o mişcare frânată cu $a=-1 \mathrm{~m} / \mathrm{s}^{2}$, conform figurii problemei, în care $s_{1}=s_{2}=s; \quad \left|a_{1}\right|=\left|a_{2}\right|=|a|; \quad t_{1}=t_{2}=t^{\prime}$. Ecuațiile ce descriu mişcarea metroului sunt:\\ $s=\frac{a t^{\prime 2}}{2}; \quad v_{m}=a t^{\prime}; \quad s_{0}=v_{m} t_{0}$.\\ Condițiile impuse de problemă sunt: $d=2 s+s_{0}; \quad t=2 t^{\prime}+t_{0}$.\\ Obținem un sistem de cinci ecuații cu cinci necunoscute: $s$, $d$, $t^{\prime}$, $s_{0}$, $t_{0}$. Eliminând necunoscutele $s$, $t^{\prime}$, $s_{0}$ şi $t_{0}$ obţinem:\\ $d=v_{m} t-\frac{v_{m}^{2}}{a}$.\\ Înlocuind valorile numerice se determină $d=2750 \mathrm{~m}=2,75 \mathrm{~km}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-236}\\ Figura problemei \end{center}\\"
"1.174","$h_{\max }=\frac{v_{0}^{2}}{2 g}=\frac{100}{2 \cdot 10}=5 \mathrm{~m}$, deci piatra nu va atinge înălțimea $h=10 \mathrm{~m}$.\\"
"1.175","Considerăm mişcarea glontelui uniform frânată în scândură, iar ecuațiile ce descriu mişcarea sa sunt:\\ $l=v_{0} t-\frac{a t^{2}}{2}; \quad 0=v_{0}-a t; \quad 0=v_{0}^{2}-2 a l$.\\ Din ultima relație putem afla accelerația de frânare în scândură:\\ $a=\frac{v_{0}^{2}}{2 l}=\frac{25 \cdot 10^{4}}{2 \cdot 5 \cdot 10^{-2}}=2,5 \cdot 10^{6} \mathrm{~m} / \mathrm{s}^{2}$.\\ Dacă glontele întâlneşte scândura de grosime $d=2 \mathrm{~cm}$ atunci va avea o mişcare frânată cu accelerația $a=2,5 \cdot 10^{6} \mathrm{~m} / \mathrm{s}^{2}$, iar ecuațiile ce descriu mişcarea sa în scândură sunt:\\ $d=v_{0} t-\frac{a t^{2}}{2}; \quad v=v_{0}-a t; \quad v^{2}=v_{0}^{2}-2 a d$.\\ Din ultima relație putem afla viteza de ieşire din scândură a glontelui:\\ $v=\sqrt{v_{0}^{2}-2 a d}=100 \sqrt{15} \mathrm{~m} / \mathrm{s}$.\\ Impulsul primit de scândură este:\\ $p=m\left(v_{0}-v\right)=25 \cdot 10^{-3}(500-100 \sqrt{15})=2,8 \mathrm{~N}$.\\"
"1.176","Mişcarea celor două corpuri este descrisă de figura problemei:\\ $\begin{array}{ll} m_{2} a=m_{2} g-T\\ m_{1} a=T-m_{1} g \end{array}$, din care determinăm accelerația sistemului:\\ $a=\frac{m_{2}-m_{1}}{m_{1}+m_{2}} \cdot g$.\\ Mişcarea corpului $m_{1}$ pe distanța $h_{2}$ este dată de:\\ $h_{2}=\frac{a t^{2}}{2}; \quad v=a t; \quad v^{2}=2 a h_{2}$.\\ Din ultima relație determinăm:\\ $v=\sqrt{2 a h}=\sqrt{2 \cdot \frac{m_{2}-m_{1}}{m_{1}+m_{2}} \cdot g h_{2}}=\frac{2 \sqrt{15}}{3} \mathrm{~m} / \mathrm{s}$.\\ În continuare, corpul $m_{1}$ îşi continuă mişcarea pe verticală cu viteza inițială $v$, până la înălțimea maximă $h_{m}=\frac{v^{2}}{2 g}=\frac{4 \cdot 15}{9 \cdot 10}=\frac{2}{3} \mathrm{~m}$.\\ Înălțimea atinsă de corp este: $H=h_{2}+h_{m}=\frac{1}{2}+\frac{2}{3}=\frac{5}{6} \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-237}\\ Figura problemei \end{center}\\"
"1.177","Spațiul parcurs la urcare în timpul $t_{u}$, cu viteza inițială $v_{0}$ şi accelerația de urcare $a_{u}=-g(\sin \alpha+\mu \cos \alpha)$ este egal cu spțiul parcurs la coborâre în timpul $t_{c}$, cu accelerația de coborâre $a_{c}=g(\sin \alpha-\mu \cos \alpha)$:\\ $S=v_{0} t_{u}-\frac{a_{u} t_{u}^{2}}{2}=\frac{a_{c} t_{c}^{2}}{2}$;\\ sau: $g t_{u}^{2}(\sin \alpha+\mu \cos \alpha)-\frac{g(\sin \alpha+\mu \cos \alpha) t_{u}^{2}}{2}=\frac{g(\sin \alpha-\mu \cos \alpha)\left(3 t_{u}\right)^{2}}{2}$;\\ sau: $\mu=0,8$.\\ Înălțimea la care urcă corpul este: $h=S \sin \alpha=\frac{v_{0}^{2}}{2 a_{u}} \sin \alpha=1 \mathrm{~m}$.\\"
"1.178","Corpul va merge pe traiectoria circulară până când forța centrifugǎ şi greutatea corpului au rezultantă nulă şi ținem cont că energia totală este constantă:\\ $G=F_{c} \cos \alpha \Rightarrow m g=\frac{m v^{2} \cos \alpha}{R} \Rightarrow v=\sqrt{g R \cos \alpha}; \quad \cos \alpha=\frac{2}{3}$.\\ Dar $m g h=\frac{m v^{2}}{2}+m g R(1+\cos \alpha);$\\ Sau $2 m g R=\frac{m g R \cos \alpha}{2}+m g h_{1} \Rightarrow h_{1}=1,67 \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-238}\\ Figura problemei \end{center}\\"
"1.179","$m g h+\frac{m v_{0}^{2}}{2}=\frac{m v^{2}}{2} \Rightarrow v=40 \mathrm{~m} / \mathrm{s}$.\\"
"1.180","$t_{1}=1 \mathrm{~s}; \quad t_{2}=2 \mathrm{~s}; \quad s=v_{0} t_{1}-\frac{a t_{1}^{2}}{2}$;\\ $\frac{v_{0}}{a}=t_{1}+\frac{t_{2}-t_{1}}{2}=\frac{t_{1}+t_{2}}{2} \Rightarrow v_{0}=0,45 \mathrm{~m} / \mathrm{s}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-239}\\ Figura problemei \end{center}\\"
"1.181","$\frac{m v_{0}^{2} \cos ^{2} \alpha}{R}=m g \Rightarrow R=\frac{v_{0}^{2} \cos ^{2} \alpha}{g}=10 \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-239(1)}\\ Figura problemei \end{center}\\"
"1.182","$P=F \cdot v=2 m g \sin \alpha \cdot v=15000 \mathrm{~W}$.\\"
"1.183","$t_{u}=\frac{v_{0} \sin \alpha}{g}; \quad t=2 t_{u}; \quad s=t v_{0} \cos \alpha$;\\ $W=\frac{m v_{0}^{2}}{2}=5 \mathrm{~J}$.\\"
"1.184","$\frac{m \omega^{2} R}{m g}=\frac{R}{1,5}; \quad v=\frac{1}{2 \pi} \sqrt{\frac{g}{1,5}}=0,41 \mathrm{~s}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-239(2)}\\ Figura problemei \end{center}\\"
"1.185","Din legea a doua a dinamicii:\\ $m=\frac{F_{1}}{a_{1}}=\frac{9}{3}=3 \mathrm{~kg}; \quad a_{2}=\frac{F_{2}}{m}=\frac{6}{3}=2 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.186","Din teorema variației impulsului:\\ $F=m \frac{\Delta v}{\Delta t}=0,2 \cdot \frac{15}{10^{-2}}=300 \mathrm{~N}$.\\"
"1.187","Legea a doua a dinamicii se scrie: $m a=F_{t}-F_{f}$, deci $F_{t}=m a+F_{f}=10000 \cdot 0,55+500=6000 \mathrm{~N}=6 \mathrm{~kN}$.\\"
"1.188","Din legea spațiului în mişcarea rectilinie uniform variată:\\ $l=\frac{a t^{2}}{2} \Rightarrow a=\frac{2 l}{t^{2}}$, deci $v=a t=\frac{2 l}{t^{2}} \cdot t=\frac{2 l}{t}=\frac{100}{10}=10 \mathrm{~m} / \mathrm{s}$.\\"
"1.189","Din legea vitezei în mişcarea rectilinie uniform variată:\\ $0=v_{0}-g \frac{\tau}{2} \Rightarrow v_{0}=10 \cdot \frac{10}{2}=50 \mathrm{~m} / \mathrm{s}$.\\"
"1.190","Forţa rezultantă va fi: $F=m g-\frac{m v^{2}}{R}=10^{3} \cdot 10-\frac{10^{3} \cdot 10^{2}}{10^{2}}=9 \mathrm{~kN}$.\\"
"1.191","Se ştie că: $|F|=k x$; $E_{p}=k \frac{x^{2}}{2}$, încât:\\ $E_{p}=k \frac{x^{2}}{2}=\frac{F}{x} \cdot \frac{x^{2}}{2}=F \frac{x}{2}=25 \cdot \frac{4 \cdot 10^{-2}}{2}=0,5 \mathrm{~J}$.\\"
"1.192","Din teorema conservării impulsului, $m_{1} \vec{v}_{1}+m_{2} \vec{v}_{2}=0$, încât:\\ $p_{2}=\left|m_{2} \vec{v}_{2}\right|=\left|m_{1} \vec{v}_{1}\right|=0,5 \cdot 10=5 \mathrm{~N} \cdot \mathrm{s}$.\\"
"1.193","Se ştie că: $E_{c}=\frac{p^{2}}{2 m} \Rightarrow m=\frac{p^{2}}{2 E_{c}}=\frac{100}{20}=5 \mathrm{~kg}$.\\"
"1.194","$a_{1}=g \sin \alpha; \quad s_{1}=\frac{h}{\sin \alpha}=\frac{1}{2} g \sin \alpha t_{1}^{2} \Rightarrow t_{1}=\frac{1}{\sin \alpha} \sqrt{\frac{2 h}{g}}=2 \mathrm{~s}$;\\ $F_{f}=m a_{2}; \quad F_{f}=\mu m g; \quad a_{2}=\mu g=2 \mathrm{~m} / \mathrm{s}^{2}$;\\ $E_{i}=E_{f} \Rightarrow E_{p f}=E_{c} \Rightarrow m g h=\frac{m v^{2}}{2} \Rightarrow v=\sqrt{2 g h}=10 \mathrm{~m} / \mathrm{s}$;\\ $0=v-\mu g t_{2} \Rightarrow t_{2}=\frac{v}{\mu g}=5 \mathrm{~s}$;\\ $t=t_{1}+t_{2}=7 \mathrm{~s}$.\\"
"1.195","$a_{u}=\left(-G_{t}-F_{f}\right) / m=-g(\sin \alpha+\mu \cos \alpha)$;\\ $0=\sqrt{v_{0}^{2}-2\left|a_{u}\right| l} \Rightarrow l=\frac{v_{0}^{2}}{2\left|a_{u}\right|}$;\\ $a_{c}=\frac{G_{t}-F_{f}}{m}=g(\sin \alpha-\mu \cos \alpha)$;\\ $1=a_{c} t_{c}^{2} / 2 \Rightarrow t_{c}=\sqrt{\frac{2 l}{a_{c}}}=\sqrt{\frac{2}{a_{c}} \cdot \frac{v_{0}^{2}}{2\left|a_{u}\right|}}; \quad t_{u}=\frac{v_{0}}{\left|a_{u}\right|}$;\\ $\frac{t_{c}}{t_{u}}=\sqrt{\frac{\left|a_{u}\right|}{a_{c}}}=\sqrt{\frac{g(\sin \alpha+\mu \cos \alpha)}{g(\sin \alpha-\mu \cos \alpha)}}=\sqrt{\frac{1+\mu \operatorname{ctg} \alpha}{1-\mu \operatorname{ctg} \alpha}}=1,22$.\\"
"1.196","$h=\frac{g t_{c}^{2}}{2} \Rightarrow t_{c}=\sqrt{\frac{2 h}{g}}=\sqrt{\frac{2 \cdot 400}{9,8}}=10 \mathrm{~s}$;\\ $\Delta h=h-\frac{g\left(t_{c}-1\right)^{2}}{2}=490-\frac{9,8 \cdot 81}{2}=93,1 \mathrm{~m}$.\\"
"1.197","$v=\sqrt{v_{0}^{2}+2 a S} \Rightarrow a=\frac{v^{2}}{2 S}=\frac{900}{2 \cdot 500}=0,9 \mathrm{~m} / \mathrm{s}^{2}$;\\ $F_{s}-F_{f}=m a \Rightarrow F_{s}=F_{f}+m a=1100 \mathrm{~N}$.\\"
"1.198","$L=\vec{F} \cdot \vec{d}=F \cdot d \cdot \cos \alpha,\ \vec{F}_{c p} \perp \vec{R} \Rightarrow \cos \alpha=0 \Rightarrow L=0$.\\"
"1.199","$\frac{m v^{2}}{L}=2 m g(\cos \beta-\cos \alpha); \quad T=F_{c f}+m g \cos \beta=\frac{m v^{2}}{L}+m g \cos \beta$;\\ Deci: $T=m g(3 \cos \beta-2 \cos \alpha)=31,9 \mathrm{~N}$.\\"
"1.200","$F_{1}=G_{t}+F_{f}=m g(\sin \alpha+\mu \cos \alpha)$;\\ $F_{2}=G_{t}-F_{f}=m g(\sin \alpha-\mu \cos \alpha);\\ \frac{F_{1}}{F_{2}}=\frac{\sin \alpha+\mu \cos \alpha}{\sin \alpha-\mu \cos \alpha} \Rightarrow \mu=\frac{F_{1}-F_{2}}{F_{1}+F_{2}} \cdot \operatorname{tg} \alpha=1 / 3$.\\"
"1.201","$L=\frac{1}{2} k A^{2},\ F=k A \Rightarrow L=\frac{1}{2} F A \Rightarrow A=\frac{2 L}{F}=0,4 \mathrm{~m}$.\\"
"1.202","Mişcare uniform încetinită:\\ $\left.\begin{aligned} x & =x_{0}+v_{0} t+a \frac{t^{2}}{2} \\ x & =2+6 t-t^{2}\end{aligned} \right\rvert\, \Rightarrow x=2 \mathrm{~m}; \quad v_{0}=6 \mathrm{~m} / \mathrm{s}; \quad a=-2 \mathrm{~m} / \mathrm{s}^{2}$;\\ $v=v_{0}+a t \Rightarrow \frac{v_{0}}{3}=v_{0}-2 t \Rightarrow t=\frac{v_{0}}{3}=\frac{6}{3}=2 \mathrm{~s}$.\\"
"1.203","În prima jumătate, avem $\frac{s}{2}=v_{0} t_{1}+\frac{a t_{1}^{2}}{2}$, viteza după prima jumătate este $v=v_{0}+a t_{1}$, iar în a doua jumătate avem $\frac{s}{2}=v t_{2}+\frac{a t_{2}^{2}}{2}$.\\ Prima jumătate \quad \quad \quad \ A doua jumătate\\ $48=v_{0} \cdot 8+\frac{a}{2} \cdot 64 \quad \quad \ 48=\left(v_{0}+8 a\right) \cdot 4+\frac{a}{2} \cdot 16$;\\ $6=v_{0}+4 a \quad \quad \quad \quad \quad \ 12=v_{0}+10 a$;\\ $v=v_{0}+8 a \quad \quad \quad \quad \quad \ v=v_{0}+8 a$;\\ Din relațiile $6=v_{0}+4 a$, $12=v_{0}+10 a$ obținem: $6=6a \Rightarrow a=1 \mathrm{~m} / \mathrm{s}$.\\"
"1.204","$G=m g=4 \cdot 10=40 \mathrm{~m} / \mathrm{s}^{2}<F$ (vezi figura problemei).\\ $m a=F-G \Rightarrow a=\frac{F-G}{m}=5 \mathrm{~m} / \mathrm{s}^{2}$, în sus.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-242}\\ Figura problemei \end{center}\\"
"1.205","Conform figurii problemei:\\ $\frac{m v_{0}^{2}}{2}=\frac{K \cdot x_{\max }^{2}}{2} \Rightarrow x_{\max }=v_{0} \sqrt{\frac{m}{K}}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-242(1)}\\ Figura problemei \end{center}\\"
"1.206","$v_{1}=l_{1} \omega_{1}=l_{1} \frac{2 \pi}{T_{1}}; \quad v_{2}=l_{2} \omega_{2}=l_{2} \frac{2 \pi}{T_{2}}$;\\ Deci: $\frac{v_{1}}{v_{2}}=\frac{l_{1} T_{2}}{l_{2} T_{1}}=\frac{1}{18}$.\\"
"1.207","Inițial, $v_{0}=0$, $p_{i}=0$.\\ Final, $\left\{\begin{array}{l}v=v_{0}+g t\\ p_{f}=m v=1 \cdot 150=150 \mathrm{~kg} \cdot \mathrm{~m} / \mathrm{s}\end{array}\right.$\\ Avem: $G=m g \Rightarrow m=\frac{G}{g}=1 \mathrm{~kg}$.\\"
"1.208","$H=\frac{g_{a} t^{2}}{2}$ este spațiul parcurs în timpul $t$ de cădere. În timpul $t-1$ va parcurge o distanță $H^{\prime}=\frac{g_{a}(t-1)^{2}}{2}$. În ultima secundă se parcurge distanța:\\ $h=H-H^{\prime}=\frac{g_{a} t^{2}}{2}-\frac{g_{a}(t-1)^{2}}{2}=g_{a} t-\frac{g_{a}}{2} \Rightarrow t=\frac{2 h+g_{a}}{2 g_{a}}$.\\ După înlocuirea lui $t$ din ultima relație în prima expresie a lui $H$ obținem:\\ $H=\frac{g_{a}}{2} \frac{\left(2 h+g_{a}\right)^{2}}{4 g_{a}}=\frac{\left(2 h+g_{a}\right)^{2}}{8 g_{a}}=\frac{8^{2}}{8 \cdot 4}=4 \mathrm{~m}$.\\"
"1.209","Din figura problemei, în care $S$ reprezintă poziția de echilibru a sferei în timpul mişcării accelerate a cilindrului, rezultă:\\ $\operatorname{tg} \theta=\frac{m a}{m g}=\frac{a}{g}=\frac{g}{g}=1 \Rightarrow \theta=45^{\circ}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-243}\\ Figura problemei \end{center}\\"
"1.210","Legea de mişcare a scândurii este (vezi figura problemei):\\ $m a=F-F_{f_{1}}-F_{f_{2}} \quad (1)$\\ Unde forţele $F_{f_{1}}$, $F_{f_{2}}$ au expresiile:\\ $F_{f_{1}}=\frac{G_{1}}{g} \cdot a=\mu_{1} G_{1} \quad (2)$\\ $\operatorname{iar} \quad F_{f_{2}}=\left(m g+G_{1}\right) \cdot \mu_{2} \quad (3)$.\\ Din egalitatea (2) rezultă: $a=\mu_{1} g \quad (4)$\\ Introducem (2), (3) şi (4) în ecuația (1) şi obținem:\\ $m \mu_{1} g=F-G_{1} \cdot \mu_{1}-\left(m g+G_{1}\right) \cdot \mu_{2}$\\ Sau: $F=m \mu_{1} g+G_{1} \cdot \mu_{1}+\left(m g+G_{1}\right) \cdot \mu_{2} \quad (5)$\\ Numeric din (5) obținem: $F=22,5 \mathrm{~N}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-243(1)}\\ Figura problemei \end{center}\\"
